catalog_id,name,category,origin,target_class,promotion_status,authority,next_requirement
authoring-level-scratch-expression,scratch expression,authoring level,thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
authoring-level-guided-relationship,guided relationship,authoring level,thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
authoring-level-named-declaration,named declaration,authoring level,thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
authoring-level-contracted-component,contracted component,authoring level,thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
authoring-level-research-programme,research programme,authoring level,thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
semantic-lane-strict-lane,strict lane,semantic lane,thread-derived,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
semantic-lane-custom-lane,custom lane,semantic lane,thread-derived,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
semantic-lane-semantic-genesis-lane,Semantic Genesis lane,semantic lane,thread-derived,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
execution-lane-reference-lane,reference lane,execution lane,thread-derived,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
execution-lane-specialized-lane,specialized lane,execution lane,thread-derived,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-function,function,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-policy,policy,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-model,model,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-claim,claim,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-theorem,theorem,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-conjecture,conjecture,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-axiom,axiom,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-lemma,lemma,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-definition,definition,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-relation,relation,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-type,type,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-structure,structure,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-experiment,experiment,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-custom,custom,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-world,world,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-capability,capability,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-theory,theory,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-model-instance,model instance,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-morphism,morphism,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-family,family,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-algorithm,algorithm,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-method,method,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-provider-binding,provider binding,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-artifact,artifact,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-genome,genome,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-notation,notation,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-package,package,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-library,library,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-challenge,challenge,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-game,game,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-hidden-system,hidden system,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-cipher,cipher,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-cryptosystem,cryptosystem,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-hash,hash,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-mac,MAC,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-signature,signature,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-kem,KEM,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-code,code,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-protocol,protocol,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-puzzle,puzzle,declaration kind,thread-derived,kind,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-commitment,commitment,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-secret-sharing,secret sharing,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-zero-knowledge,zero knowledge,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-stegosystem,stegosystem,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-attack-model,attack model,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-tokenizer,tokenizer,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-corpus,corpus,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-language-model,language model,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-objective,objective,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-training,training,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-checkpoint-policy,checkpoint policy,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-posttraining,posttraining,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-evaluation,evaluation,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-quantization,quantization,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-serving,serving,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-checkpoint-transform,checkpoint transform,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-foundation-model,foundation model,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-hardware,hardware,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-lesson,lesson,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
declaration-kind-visualization,visualization,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
